TEAM,Conference,ReboundStrength,DefensiveTier,Private,GP,PTS,FGM,FGA,FG_PCT,THREE_PM,THREE_PA,THREE_PCT,FTM,FTA,FT_PCT,OR,DR,REB,AST,STL,BLK,TO,PF
Texas Tech Red Raiders,Big 12,Average,Weak,No,34,75.3,25.8,57.1,45.1,8.5,23.6,35.9,15.2,19.5,78.0,9.9,25.0,34.9,14.7,6.0,2.5,11.1,14.9
Cincinnati Bearcats,Big 12,Strong,Strong,No,37,74.7,27.6,62.4,44.3,7.6,22.9,33.0,11.9,17.2,68.8,13.3,26.2,39.5,14.6,6.5,4.4,12.0,15.0
Houston Cougars,Big 12,Average,Strong,No,37,73.5,26.5,60.4,43.9,7.7,22.2,34.8,12.8,18.6,68.7,13.4,23.7,37.1,13.1,9.8,4.8,8.9,17.8
Kansas State Wildcats,Big 12,Average,Moderate,No,34,72.2,24.6,56.4,43.6,7.4,23.2,31.8,15.6,21.6,72.0,11.0,26.2,37.2,14.0,5.9,4.1,14.8,17.6
UCF Knights,Big 12,Weak,Strong,No,33,71.7,24.8,58.9,42.0,6.8,21.2,32.2,15.4,21.9,70.1,12.4,25.3,37.7,11.4,8.7,5.0,12.5,18.2
Oklahoma State Cowboys,Big 12,Weak,Moderate,No,32,71.0,24.8,56.2,44.1,8.1,24.3,33.4,13.3,19.1,69.7,9.2,24.5,33.7,13.4,6.3,2.9,12.9,16.0
West Virginia Mountaineers,Big 12,Weak,Moderate,No,32,69.8,24.0,55.8,43.0,7.3,20.8,34.9,14.6,20.7,70.5,9.2,24.6,33.8,13.0,4.3,3.6,12.7,15.3
Alabama Crimson Tide,SEC,Strong,Strong,No,37,90.1,30.7,64.5,47.6,11.2,29.9,37.3,17.6,22.8,77.2,12.8,26.9,39.6,15.9,6.9,4.4,11.8,19.9
Kentucky Wildcats,SEC,Strong,Strong,No,33,89.0,32.0,64.6,49.5,9.9,24.2,40.9,15.2,19.7,77.2,10.1,27.6,37.6,17.5,7.5,6.3,10.7,17.5
Florida Gators,SEC,Strong,Strong,No,36,85.6,29.9,65.3,45.8,7.8,22.6,34.5,17.9,25.1,71.5,14.6,27.6,42.3,15.2,6.7,5.3,11.7,18.5
Auburn Tigers,SEC,Strong,Strong,No,35,83.1,28.9,60.6,47.6,8.0,22.7,35.2,17.4,23.2,75.0,11.2,26.6,37.8,17.8,7.4,6.1,10.7,19.4
Tennessee Volunteers,SEC,Strong,Strong,No,36,78.8,27.2,61.8,44.0,8.8,25.4,34.4,15.6,20.8,75.1,11.6,27.1,38.7,16.7,7.8,4.6,10.2,17.5
Arkansas Razorbacks,SEC,Weak,Strong,No,33,77.8,26.0,57.5,45.3,6.0,18.9,31.8,19.7,26.0,75.6,8.5,26.0,34.5,11.7,6.0,6.1,12.0,20.0
LSU Tigers,SEC,Average,Strong,No,33,76.4,26.3,57.8,45.5,7.8,21.7,35.7,16.0,22.1,72.3,10.5,25.2,35.7,11.8,8.0,3.8,13.2,17.4
Texas A&M Aggies,SEC,Strong,Moderate,No,36,76.0,25.7,64.0,40.2,7.1,24.1,29.3,17.5,24.7,70.7,17.4,25.4,42.8,11.4,6.9,3.0,9.6,17.0
Ole Miss Rebels,SEC,Average,Strong,No,32,74.9,26.2,58.6,44.7,7.5,20.6,36.5,15.0,20.6,72.8,10.4,23.1,33.5,15.1,7.8,5.8,10.8,16.3
Georgia Bulldogs,SEC,Weak,Moderate,No,37,74.7,25.5,59.3,43.0,8.1,23.9,34.0,15.6,21.7,72.0,9.9,25.8,35.6,11.8,6.4,3.3,11.4,16.2
Mississippi State Bulldogs,SEC,Average,Strong,No,35,74.1,26.2,57.9,45.2,7.2,22.3,32.1,14.5,21.7,67.0,12.5,25.6,38.1,14.0,8.1,3.1,13.0,16.6
Missouri Tigers,SEC,Weak,Strong,No,32,72.2,25.2,57.4,43.9,7.3,22.8,31.9,14.4,18.2,79.2,9.2,21.8,31.0,12.2,7.7,4.8,11.6,20.1
South Carolina Gamecocks,SEC,Average,Weak,No,34,72.1,25.4,57.9,43.9,8.1,23.8,33.9,13.1,18.4,71.1,11.4,24.2,35.6,15.4,4.8,3.2,10.1,16.2
Vanderbilt Commodores,SEC,Weak,Weak,Yes,32,67.9,23.4,58.7,39.9,6.5,23.1,28.3,14.6,20.6,70.9,10.8,23.7,34.4,9.4,6.1,2.9,10.4,15.4
